Mes,Año,Precio_m2,Data,id
Mayo,2010,13.8,Mayo-2010,24
Abril,2010,13.8,Abril-2010,23
Marzo,2010,13.8,Marzo-2010,22
Febrero,2010,13.9,Febrero-2010,21
Enero,2010,13.8,Enero-2010,20
Diciembre,2009,13.7,Diciembre-2009,19
Noviembre,2009,14,Noviembre-2009,18
Octubre,2009,13.8,Octubre-2009,17
Septiembre,2009,13.9,Septiembre-2009,16
Agosto,2009,14,Agosto-2009,15
Julio,2009,14.3,Julio-2009,14
Junio,2009,14.3,Junio-2009,13
Mayo,2009,15,Mayo-2009,12
Abril,2009,15,Abril-2009,11
Marzo,2009,15,Marzo-2009,10
Febrero,2009,15,Febrero-2009,9
Enero,2009,15.2,Enero-2009,8
Diciembre,2008,15.4,Diciembre-2008,7
Noviembre,2008,15.2,Noviembre-2008,6
Octubre,2008,14.8,Octubre-2008,5
Septiembre,2008,14.5,Septiembre-2008,4
Agosto,2008,14.9,Agosto-2008,3
Julio,2008,15.1,Julio-2008,2
Junio,2008,15.1,Junio-2008,1
