Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Precio_m2,Nombre,Valor_compra_venta,Numero_de_contratos
2019,4,3,Sants-Montjuïc,17,Sants - Badal,13.8,63.2,239.8,258.0
2019,4,3,Sants-Montjuïc,18,Sants,13.9,67.3,264.4,67.0
2019,4,4,Les Corts,19,les Corts,15.4,75.9,371.3,110.0
2019,4,4,Les Corts,20,la Maternitat i Sant Ramon,15.0,81.5,335.6,90.0
2019,4,4,Les Corts,21,Pedralbes,15.5,131.4,678.2,112.0
2019,4,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",14.2,72.4,619.5,96.0
2019,4,5,Sarrià-Sant Gervasi,23,Sarrià,17.0,85.6,497.4,375.0
2019,4,5,Sarrià-Sant Gervasi,24,les Tres Torres,17.4,110.5,919.2,511.0
2019,4,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,16.4,89.1,513.8,213.0
2019,4,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,15.2,102.4,580.8,94.0
2019,4,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,15.1,78.8,428.7,353.0
2019,4,6,Gràcia,28,Vallcarca i els Penitents,14.2,73.0,357.0,315.0
2019,4,6,Gràcia,29,el Coll,13.2,66.3,178.7,527.0
2019,4,6,Gràcia,30,la Salut,13.2,76.3,323.2,564.0
2019,4,6,Gràcia,31,la Vila de Gràcia,14.8,69.7,436.4,535.0
2019,4,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,14.9,71.3,452.3,583.0
2019,4,7,Horta-Guinardó,33,el Baix Guinardó,13.8,69.3,219.8,391.0
2019,4,7,Horta-Guinardó,34,Can Baró,13.5,59.6,223.0,337.0
2019,4,7,Horta-Guinardó,35,el Guinardó,13.4,65.4,218.8,56.0
2019,4,7,Horta-Guinardó,36,la Font d'en Fargues,13.2,66.7,336.4,104.0
2019,4,7,Horta-Guinardó,37,el Carmel,12.2,60.0,180.0,64.0
2019,4,7,Horta-Guinardó,38,la Teixonera,12.8,60.6,211.1,135.0
2019,4,7,Horta-Guinardó,39,Sant Genís dels Agudells,11.6,67.1,125.0,95.0
2019,4,7,Horta-Guinardó,40,Montbau,12.2,67.2,141.0,193.0
2019,4,7,Horta-Guinardó,41,la Vall d'Hebron,13.9,75.3,170.0,393.0
2019,4,7,Horta-Guinardó,42,la Clota,,87.0,,342.0
2019,4,7,Horta-Guinardó,43,Horta,12.8,65.9,271.4,140.0
2019,4,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12.4,67.9,191.3,56.0
2019,4,8,Nou Barris,45,Porta,12.7,61.6,169.4,19.0
2019,4,8,Nou Barris,46,el Turó de la Peira,11.7,62.5,187.3,216.0
2019,4,8,Nou Barris,47,Can Peguera,,54.5,,119.0
2019,4,8,Nou Barris,48,la Guineueta,11.5,69.4,199.7,240.0
2019,4,8,Nou Barris,49,Canyelles,9.5,79.1,170.0,446.0
2019,4,8,Nou Barris,50,les Roquetes,10.9,60.9,193.2,359.0
2019,4,8,Nou Barris,51,Verdun,13.0,53.3,149.5,158.0
2019,4,8,Nou Barris,52,la Prosperitat,11.9,60.1,126.0,62.0
2019,4,8,Nou Barris,53,la Trinitat Nova,11.5,51.8,76.5,116.0
2019,4,8,Nou Barris,54,Torre Baró,,53.0,,698.0
2019,4,8,Nou Barris,55,Ciutat Meridiana,10.0,59.1,91.0,335.0
2019,4,8,Nou Barris,56,Vallbona,,66.0,140.0,207.0
2019,4,9,Sant Andreu,57,la Trinitat Vella,10.8,58.7,233.0,78.0
2019,4,9,Sant Andreu,58,Baró de Viver,,57.3,,279.0
2019,4,9,Sant Andreu,59,el Bon Pastor,10.7,68.2,155.8,43.0
2019,4,9,Sant Andreu,60,Sant Andreu,12.6,67.4,214.6,196.0
2019,4,9,Sant Andreu,61,la Sagrera,12.5,69.1,258.1,87.0
2019,4,9,Sant Andreu,62,el Congrés i els Indians,12.3,68.1,231.3,36.0
2019,4,9,Sant Andreu,63,Navas,12.9,68.9,370.4,49.0
2019,4,10,Sant Martí,64,el Camp de l'Arpa del Clot,13.9,64.2,279.6,28.0
2019,4,10,Sant Martí,65,el Clot,13.3,68.0,345.3,2.0
2019,4,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,15.5,69.5,197.9,177.0
2019,4,10,Sant Martí,67,la Vila Olímpica del Poblenou,17.7,85.3,541.7,179.0
2019,4,10,Sant Martí,68,el Poblenou,15.9,66.5,393.5,150.0
2019,4,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,18.5,86.6,491.5,103.0
2019,4,10,Sant Martí,70,el Besòs i el Maresme,10.8,65.9,218.4,3.0
2019,4,10,Sant Martí,71,Provençals del Poblenou,14.5,71.8,174.0,62.0
2019,4,10,Sant Martí,72,Sant Martí de Provençals,12.0,72.6,266.3,10.0
2019,4,10,Sant Martí,73,la Verneda i la Pau,11.4,70.4,174.2,69.0
2020,1,1,Ciutat Vella,1,el Raval,14.5,62.8,194.1,63.0
2020,1,1,Ciutat Vella,2,el Barri Gòtic,14.2,87.4,367.7,139.0
2020,1,1,Ciutat Vella,3,la Barceloneta,17.5,53.9,198.4,32.0
2020,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14.9,76.2,304.4,4.0
2020,1,2,Eixample,5,el Fort Pienc,14.6,76.4,367.3,32.0
2020,1,2,Eixample,6,la Sagrada Família,14.6,67.8,239.7,3.0
2020,1,2,Eixample,7,la Dreta de l'Eixample,14.4,103.6,219.0,35.0
2020,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,14.3,86.6,460.4,3.0
2020,1,2,Eixample,9,la Nova Esquerra de l'Eixample,14.4,76.2,264.0,43.0
2020,1,2,Eixample,10,Sant Antoni,14.1,74.4,355.0,313.0
2020,1,3,Sants-Montjuïc,11,el Poble Sec,14.3,60.5,233.4,180.0
2020,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,64.0,164.7,79.0
2020,1,3,Sants-Montjuïc,13,la Marina de Port,11.5,71.4,183.2,136.0
2020,1,3,Sants-Montjuïc,14,la Font de la Guatlla,13.1,69.4,107.0,345.0
2020,1,3,Sants-Montjuïc,15,Hostafrancs,13.5,67.5,195.0,168.0
2020,1,3,Sants-Montjuïc,16,la Bordeta,13.4,66.7,223.2,100.0
2020,1,3,Sants-Montjuïc,17,Sants - Badal,13.8,64.6,239.2,77.0
2020,1,3,Sants-Montjuïc,18,Sants,14.5,64.3,299.3,253.0
2020,1,4,Les Corts,19,les Corts,15.0,75.7,398.5,82.0
2020,1,4,Les Corts,20,la Maternitat i Sant Ramon,14.2,70.1,396.2,114.0
2020,1,4,Les Corts,21,Pedralbes,15.6,108.9,733.5,112.0
2020,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",12.2,88.6,293.8,110.0
2020,1,5,Sarrià-Sant Gervasi,23,Sarrià,16.9,86.2,678.4,89.0
2020,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,16.3,111.1,781.1,363.0
2020,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,15.8,90.7,599.2,485.0
2020,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,15.4,99.8,567.4,229.0
2020,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,15.1,74.8,496.9,83.0
2020,1,6,Gràcia,28,Vallcarca i els Penitents,14.2,75.4,249.5,276.0
2020,1,6,Gràcia,29,el Coll,12.7,65.2,198.0,245.0
2020,1,6,Gràcia,30,la Salut,14.2,70.9,334.0,427.0
2020,1,6,Gràcia,31,la Vila de Gràcia,14.9,69.1,411.3,477.0
2020,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,14.0,71.9,335.2,455.0
2020,1,7,Horta-Guinardó,33,el Baix Guinardó,13.8,69.9,273.2,477.0
2020,1,7,Horta-Guinardó,34,Can Baró,12.9,66.1,214.4,297.0
2020,1,7,Horta-Guinardó,35,el Guinardó,13.6,65.1,242.9,315.0
2020,1,7,Horta-Guinardó,36,la Font d'en Fargues,12.2,77.9,337.5,4.0
2020,1,7,Horta-Guinardó,37,el Carmel,12.3,59.6,157.7,97.0
2020,1,7,Horta-Guinardó,38,la Teixonera,11.6,65.4,154.2,62.0
2020,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,10.2,69.1,165.8,120.0
2020,1,7,Horta-Guinardó,40,Montbau,11.8,68.6,179.0,99.0
2020,1,7,Horta-Guinardó,41,la Vall d'Hebron,12.5,83.9,190.0,152.0
2020,1,7,Horta-Guinardó,42,la Clota,,87.0,,343.0
2020,1,7,Horta-Guinardó,43,Horta,13.0,65.6,240.6,311.0
2020,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12.3,66.4,206.8,131.0
2020,1,8,Nou Barris,45,Porta,11.4,63.4,223.0,50.0
2020,1,8,Nou Barris,46,el Turó de la Peira,11.4,63.2,158.5,10.0
2020,1,8,Nou Barris,47,Can Peguera,,,123.7,184.0
2020,1,8,Nou Barris,48,la Guineueta,10.2,70.7,203.3,100.0
2020,1,8,Nou Barris,49,Canyelles,10.1,79.5,180.0,176.0
2020,1,8,Nou Barris,50,les Roquetes,11.6,57.8,173.1,427.0
2020,1,8,Nou Barris,51,Verdun,11.9,59.4,159.7,273.0
2020,1,8,Nou Barris,52,la Prosperitat,12.6,58.2,155.1,130.0
2020,1,8,Nou Barris,53,la Trinitat Nova,11.8,51.0,99.1,54.0
2020,1,8,Nou Barris,54,Torre Baró,6.2,66.0,,80.0
2020,1,8,Nou Barris,55,Ciutat Meridiana,9.3,58.4,104.5,532.0
2020,1,8,Nou Barris,56,Vallbona,,,,273.0
2020,1,9,Sant Andreu,57,la Trinitat Vella,10.1,64.2,180.3,158.0
2020,1,9,Sant Andreu,58,Baró de Viver,7.9,72.0,262.5,53.0
2020,1,9,Sant Andreu,59,el Bon Pastor,12.3,61.7,128.8,261.0
2020,1,9,Sant Andreu,60,Sant Andreu,12.4,66.7,242.8,38.0
2020,1,9,Sant Andreu,61,la Sagrera,12.7,63.7,257.7,180.0
2020,1,9,Sant Andreu,62,el Congrés i els Indians,12.9,66.4,230.0,61.0
2020,1,9,Sant Andreu,63,Navas,12.7,71.2,353.2,32.0
2020,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,14.3,65.0,331.2,37.0
2020,1,10,Sant Martí,65,el Clot,13.4,67.4,417.6,32.0
2020,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14.2,70.7,438.3,2.0
2020,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,17.4,94.5,620.0,145.0
2020,1,10,Sant Martí,68,el Poblenou,15.2,70.2,338.0,113.0
2020,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,15.8,84.0,768.8,120.0
2020,1,10,Sant Martí,70,el Besòs i el Maresme,12.1,61.1,198.6,81.0
2020,1,10,Sant Martí,71,Provençals del Poblenou,14.3,72.2,228.0,3.0
2020,1,10,Sant Martí,72,Sant Martí de Provençals,11.9,75.0,200.0,81.0
2020,1,10,Sant Martí,73,la Verneda i la Pau,11.3,69.5,164.4,15.0
2020,2,1,Ciutat Vella,1,el Raval,14.7,62.7,212.3,62.0
2020,2,1,Ciutat Vella,2,el Barri Gòtic,13.4,81.8,307.5,66.0
2020,2,1,Ciutat Vella,3,la Barceloneta,17.1,51.8,247.3,115.0
2020,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14.9,68.1,330.6,34.0
2020,2,2,Eixample,5,el Fort Pienc,13.4,79.0,319.9,7.0
2020,2,2,Eixample,6,la Sagrada Família,14.2,68.9,288.8,25.0
2020,2,2,Eixample,7,la Dreta de l'Eixample,14.3,95.2,658.0,1.0
2020,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,14.2,87.8,472.1,39.0
2020,2,2,Eixample,9,la Nova Esquerra de l'Eixample,14.3,75.7,387.0,6.0
2020,2,2,Eixample,10,Sant Antoni,14.1,75.3,300.0,53.0
2020,2,3,Sants-Montjuïc,11,el Poble Sec,14.9,59.2,170.0,279.0
2020,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,235.2,134.0
2020,2,3,Sants-Montjuïc,13,la Marina de Port,9.8,67.8,221.9,67.0
2020,2,3,Sants-Montjuïc,14,la Font de la Guatlla,11.9,70.0,238.5,118.0
2020,2,3,Sants-Montjuïc,15,Hostafrancs,13.5,67.3,146.8,284.0
2020,2,3,Sants-Montjuïc,16,la Bordeta,12.4,73.8,316.9,156.0
2020,2,3,Sants-Montjuïc,17,Sants - Badal,14.3,59.3,209.0,85.0
2020,2,3,Sants-Montjuïc,18,Sants,12.9,70.7,288.0,53.0
2020,2,4,Les Corts,19,les Corts,15.3,75.0,388.8,239.0
2020,2,4,Les Corts,20,la Maternitat i Sant Ramon,13.8,70.2,377.3,89.0
2020,2,4,Les Corts,21,Pedralbes,16.8,123.6,1324.0,83.0
2020,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",11.7,94.8,402.8,86.0
2020,2,5,Sarrià-Sant Gervasi,23,Sarrià,18.0,82.2,642.1,114.0
2020,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,18.0,100.7,940.5,79.0
2020,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,14.7,95.1,420.0,375.0
2020,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,15.8,90.7,377.6,210.0
2020,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,15.8,76.2,425.9,88.0
2020,2,6,Gràcia,28,Vallcarca i els Penitents,15.5,71.9,319.9,43.0
